id,book_id,genre_id
1,1,1
2,1,2
3,1,3
4,2,4
5,3,6
6,3,8
7,3,2
8,3,9
9,4,6
10,5,6
11,6,7
12,7,10
13,7,9
14,7,2
15,7,11
16,8,12
17,8,13
18,8,14
19,8,15
20,9,6
21,9,16
22,9,17
