id,name
1,Philosophical
2,Gothic
3,Speculative
4,Roman à clef
5,Prose Poetry
6,Science Fiction
7,Historical Fiction
8,Romance
9,Horror
10,Novella
11,Ghost story
12,Satire
13,Adventure
14,Children's literature
15,Humour
16,Fantasy
17,Sword and planet
18,Manners
19,Autobiographical
20,Psychological
21,Fiction
22,Novel
23,Tragedy
24,Theological
25,Crime
26,Realism
